Drug,%Dead,Date,shP53,shCHK2,shATR,shCHK1,shATX,shDNAPK,shBOK,shBIM
doxorubicin,83,6/18/2015,3.647160493,3.711728584,1.60344891,-0.218490937,-1.630471542,-1.194050529,-1.220325975,1.331994205
doxorubicin,83,2/19/2012,4.274340976,4.017435237,1.481659997,-0.477549558,-1.77565061,-0.99826049,-1.557132595,1.616980451
doxorubicin,82,2/25/2012,3.793526529,4.004357282,1.338308391,-0.590355215,-1.807549379,-1.334888724,-1.459102312,1.750707907
doxorubicin,82,3/22/2014,3.599004177,3.002317741,1.527301075,-0.36883382,-0.983268074,-1.331477537,-1.904519603,1.053887638
doxorubicin,82,10/2/2015,3.80021048,3.29756786,1.153011619,-0.915657681,-1.423723227,-1.521696859,-1.432792245,1.572844599
doxorubicin,82,10/7/2015,3.517067877,3.396793657,1.492678591,-0.536232054,-0.990015911,-1.654043934,-1.566861536,1.521303863
doxorubicin,82,6/16/2015,3.435747395,4.187753481,2.156752947,0.096010341,-0.938806262,-0.536137983,-1.104187491,1.329554283
doxorubicin,82,3/6/2014,3.76874676,3.505570658,1.084221252,-0.24799453,-1.631029201,-1.602412083,-0.970787153,1.551958393
doxorubicin,82,5/20/2014,3.260663121,3.509868477,1.687588902,,-2.04864736,-1.639283497,-1.783115868,
doxorubicin,82,9/4/2013,3.724892762,3.459431619,1.330645312,-0.513801472,-1.68563681,-1.577308928,-1.531533188,1.788834834
doxorubicin,81,1/17/2013,3.746065856,3.298068631,1.018716831,-0.616775457,-2.032479486,-1.159772285,-1.255098426,1.267231227
doxorubicin,81,9/2/2013,3.54761461,3.548403117,1.424908583,-0.724787858,-1.140445394,-2.01287941,-1.321657649,1.378387699
doxorubicin,81,7/27/2015,3.455289256,3.3871868,1.485309878,-0.133365156,-0.850364163,-0.362875082,-0.870140521,1.116052963
doxorubicin,81,7/27/2015,3.455289256,3.3871868,1.485309878,-0.133365156,-0.850364163,-0.362875082,-0.870140521,1.116052963
doxorubicin,81,4/26/2014,3.344050427,3.078117428,0.982936755,-0.804744933,-1.559723498,-1.482386791,-1.417511501,1.205741244
doxorubicin,81,5/20/2016,3.201377285,3.490920937,1.178105879,-0.082392587,-1.511276022,-1.308024353,-1.283591613,1.209351021
doxorubicin,81,5/23/2014,3.583450985,3.4179695,1.676702586,-0.880075768,-2.114775914,-1.684736839,-1.225833263,1.587141279
doxorubicin,81,3/17/2013,3.873780049,3.612491711,1.374648564,-0.946489756,-1.530572546,-0.984696171,-1.180814162,1.173399948
doxorubicin,81,2/13/2012,3.317286936,2.747636307,0.999210131,-0.494224594,-1.257711893,-1.186679788,-0.801140052,1.460656837
doxorubicin,80,5/18/2012,3.166510337,3.318144725,1.273847571,-0.408992912,-1.607812491,-1.07870606,-0.980774883,1.020926947
doxorubicin,80,3/23/2012,3.593447047,3.562923721,1.603524669,-0.609572283,-1.712951545,-1.186608029,-1.474486617,1.923707295
doxorubicin,80,10/4/2015,3.796274103,3.724262048,1.268847119,-0.533745676,-1.056404513,-1.564997908,-1.270591766,0.958509604
doxorubicin,80,11/22/2013,3.724892762,3.275089844,1.395301281,-0.582908842,-2.273908851,-1.265881519,-1.657376831,1.349481622
doxorubicin,80,7/22/2014,3.967389728,3.17735598,1.387710794,-0.762957062,-1.528126745,-1.568710493,-1.536938293,1.53201051
doxorubicin,80,7/5/2015,3.52130881,3.606624789,1.693025533,-0.087040568,-0.742095499,-0.692591119,-1.220709978,1.273231381
doxorubicin,80,6/23/2013,3.805672479,3.46396781,1.212404915,-0.311347158,-1.23234202,-1.384417606,-1.696625434,1.062737857
doxorubicin,80,3/24/2014,3.848239135,3.571629604,1.540224186,-0.46160599,-1.671293997,-1.775573187,-1.803190626,1.071713509
doxorubicin,80,4/26/2016,2.721954997,3.514370093,1.346230772,-0.045101986,-1.096345212,-0.403896942,-0.869466125,1.039548193
doxorubicin,80,2/11/2013,3.625324094,3.028466895,1.3652556,-0.619466879,-1.811629137,-1.365817758,-1.025157962,1.523806042
doxorubicin,80,9/26/2012,3.823723548,3.358365999,1.567741646,-0.549572059,-2.150686096,-1.427677869,-0.961578626,1.401045512
doxorubicin,80,7/16/2012,3.258183453,3.421813156,1.227614664,-0.685412322,-1.208185,-0.887325776,-1.276103231,1.027846332
doxorubicin,79,11/23/2012,3.119094108,2.972997982,0.930596302,-0.438531922,-1.863263663,-0.975544828,-1.196705618,1.089146744
doxorubicin,79,12/20/2014,3.754566431,3.242429714,1.187103918,-0.470202364,-1.047504319,-1.290052721,-1.097035477,1.33004011
doxorubicin,79,10/17/2013,3.410933101,3.399560163,1.001570708,-0.857334771,-1.608187771,-1.147133137,-1.373816003,1.081388327
doxorubicin,79,12/17/2011,2.84305654,3.077304262,1.081048744,-0.513801472,-1.148523832,-1.082464543,-1.280780489,0.823270729
doxorubicin,78,4/29/2012,3.409569749,3.593198651,1.050127767,-0.567306342,-1.48997174,-1.119915002,-1.165422077,1.290380125
doxorubicin,78,11/22/2014,4.146119859,3.312369101,1.373953732,0.2056564,-1.162145448,-1.329449365,-1.746489254,1.510512552
doxorubicin,78,10/12/2015,2.97372201,2.775431101,0.941628221,-0.468039413,-0.852708979,-1.247909818,-1.424392495,1.357803641
doxorubicin,78,10/17/2014,3.441904736,2.955128585,1.150608534,-0.922145207,-1.180224327,-1.44595574,-1.05313074,1.377722942
doxorubicin,78,2/13/2014,3.479422384,3.332034702,1.431265961,-0.521837736,-1.498555764,-1.689783957,-1.390371778,1.06402046
doxorubicin,78,4/27/2012,3.149056726,3.187520164,1.19047656,-0.489550906,-1.714351477,-1.357838428,-0.982184274,0.997216979
doxorubicin,77,9/5/2013,3.208769137,3.30580843,1.029747343,-0.39739198,-0.868806086,-1.682049761,-1.305720169,0.895860879
doxorubicin,77,9/22/2014,2.980638353,3.135703721,1.158514796,-0.751203002,-1.73286544,-0.637217956,-0.630196722,1.101970237
doxorubicin,77,9/21/2013,3.346400382,3.34195515,1.620915765,-0.430584553,-1.715338595,-1.431639467,-1.648302969,1.158262084
doxorubicin,77,5/5/2012,3.050874825,3.547273926,1.123796567,-0.583730522,-1.37367036,-0.886575639,-0.976502236,1.124149827
doxorubicin,76,10/5/2015,3.278943228,3.09535795,1.320009248,-0.589188652,-0.763240637,-1.361959623,-1.70773836,1.212476207
doxorubicin,76,10/8/2015,3.020986583,2.740272338,1.124505789,-0.52526522,-0.651440295,-0.978131351,-1.397068226,1.369302265
doxorubicin,76,9/29/2012,3.073305543,2.915365519,1.27013763,-0.452413589,-1.858622461,-0.926229992,-1.186973108,1.311806057
doxorubicin,75,9/26/2013,3.496425826,2.767826558,0.649868556,-0.760066534,-1.492040569,-1.354963876,-1.658827739,1.247092862
doxorubicin,74,9/20/2014,2.863933297,2.504029487,1.010895776,-0.22692371,-1.673133274,-1.259438582,-1.023868842,1.218866919
doxorubicin,72,8/5/2013,2.792241436,2.656045599,0.995810466,0,-1.203974788,-1.428236997,-0.95594482,1.110998691
doxorubicin,71,9/22/2013,3.133855747,3.021695071,1.016301812,-0.813586876,-1.710493383,-1.631813273,-1.529603213,1.386372281
doxorubicin,70,9/11/2014,2.894841396,2.755241098,1.079866941,-0.706344051,-2.300431949,-0.827558147,-1.618800993,1.147426922
doxorubicin,70,4/24/2016,2.721918296,3.012998964,0.981954934,-0.114166213,-1.398351645,-0.531965523,-1.048835462,1.252811172
doxorubicin,70,11/17/2011,1.781832437,2.024040018,0.798792909,-0.16896202,-0.724645458,-1.03389326,-0.715889692,0.485906346
doxorubicin,67,3/4/2014,2.57325795,2.447715661,0.994698619,-0.229927763,-1.147542577,-1.178925,-1.013960947,0.983188859
doxorubicin,63,2/14/2014,2.468197807,2.420635189,0.936568447,-1.353692979,-0.903549688,-1.44812354,-1.120272119,1.205296003
doxorubicin,55,2/12/2012,2.282787019,2.024318772,0.9389722,-0.258554174,-0.733040596,-1.000200416,-0.607187061,0.735958773
doxorubicin,55,11/21/2011,1.781832437,2.024040018,0.798792909,-0.16896202,-0.724645458,-1.03389326,-0.715889692,0.485906346
vincristine,90,11/17/2011,1.757019803,0.533048164,0.778984065,-1.07190801,-1.444359773,-0.433418937,-3.217911221,-0.618015827
vincristine,91,10/8/2015,1.935668245,0.653710726,0.203498144,-1.225238406,-1.434762067,-0.5881837,-3.798735519,0.938893433
vincristine,90,10/6/2014,2.42704984,1.47576942,0.227598047,-1.126243787,-3.122003756,-0.350150393,-2.063879339,0.638058346
vincristine,81,4/27/2012,1.037598337,0.677322242,0.498186058,-0.823749988,-2.061154241,-0.573279528,-3.05433406,0.201835345
vincristine,84,8/14/2012,2.257124134,0.382549647,0.412599424,-1.297171336,-2.001483491,-0.047745364,-2.928659855,-3.171613599
vincristine,86,9/11/2014,1.588933521,1.144484534,-0.021782422,-1.016801063,-2.973973399,0.030860469,-2.158482675,0.623663642
